User_Id,Location,Age
1,"Semarang, Jawa Tengah",20
2,"Bekasi, Jawa Barat",21
3,"Cirebon, Jawa Barat",23
4,"Bekasi, Jawa Barat",21
5,"Lampung, Sumatera Selatan",20
6,"Jakarta Utara, DKI Jakarta",18
7,"Jakarta Selatan, DKI Jakarta",39
8,"Bandung, Jawa Barat",40
9,"Surabaya, Jawa Timur",38
10,"Bekasi, Jawa Barat",39
11,"Yogyakarta, DIY",20
12,"Bogor, Jawa Barat",37
13,"Depok, Jawa Barat",18
14,"Jakarta Pusat, DKI Jakarta",26
15,"Jakarta Timur, DKI Jakarta",34
16,"Bekasi, Jawa Barat",40
17,"Semarang, Jawa Tengah",31
18,"Yogyakarta, DIY",39
19,"Cirebon, Jawa Barat",26
20,"Lampung, Sumatera Selatan",30
21,"Semarang, Jawa Tengah",30
22,"Subang, Jawa Barat",25
23,"Jakarta Barat, DKI Jakarta",37
24,"Bekasi, Jawa Barat",36
25,"Lampung, Sumatera Selatan",40
26,"Palembang, Sumatera Selatan",38
27,"Bogor, Jawa Barat",22
28,"Sragen, Jawa Tengah",38
29,"Ponorogo, Jawa Timur",34
30,"Depok, Jawa Barat",30
31,"Jakarta Selatan, DKI Jakarta",26
32,"Bekasi, Jawa Barat",34
33,"Ponorogo, Jawa Timur",24
34,"Sragen, Jawa Tengah",31
35,"Klaten, Jawa Tengah",24
36,"Solo, Jawa Tengah",20
37,"Tanggerang, Banten",21
38,"Serang, Banten",26
39,"Cilacap, Jawa Tengah",32
40,"Semarang, Jawa Tengah",27
41,"Yogyakarta, DIY",24
42,"Kota Gede, DIY",37
43,"Cirebon, Jawa Barat",33
44,"Subang, Jawa Barat",21
45,"Karawang, Jawa Barat",25
46,"Purwakarat, Jawa Barat",38
47,"Jakarta Utara, DKI Jakarta",31
48,"Jakarta Selatan, DKI Jakarta",35
49,"Jakarta Pusat, DKI Jakarta",24
50,"Bekasi, Jawa Barat",19
51,"Bogor, Jawa Barat",29
52,"Karawang, Jawa Barat",18
53,"Subang, Jawa Barat",28
54,"Serang, Banten",31
55,"Tanggerang, Banten",19
56,"Kota Gede, DIY",18
57,"Yogyakarta, DIY",21
58,"Lampung, Sumatera Selatan",21
59,"Ponorogo, Jawa Timur",26
60,"Surabaya, Jawa Timur",25
61,"Nganjuk, Jawa Timur",23
62,"Madura, Jawa Timur",36
63,"Semarang, Jawa Tengah",35
64,"Bandung, Jawa Barat",38
65,"Yogyakarta, DIY",22
66,"Bekasi, Jawa Barat",33
67,"Surabaya, Jawa Timur",25
68,"Kota Gede, DIY",37
69,"Bekasi, Jawa Barat",24
70,"Bogor, Jawa Barat",21
71,"Depok, Jawa Barat",39
72,"Tanggerang, Banten",19
73,"Serang, Banten",29
74,"Semarang, Jawa Tengah",30
75,"Bekasi, Jawa Barat",19
