Package,City,Place_Tourism1,Place_Tourism2,Place_Tourism3,Place_Tourism4,Place_Tourism5
1,Jakarta,Pasar Tanah Abang,Taman Ayodya,Museum Tekstil,,
2,Jakarta,Pasar Tanah Abang,Pasar Taman Puring,Pasar Petak Sembilan,,
3,Jakarta,Perpustakaan Nasional,Monas,Masjid Istiqlal,,
4,Jakarta,Pulau Tidung,Pulau Bidadari,Pulau Pari,Pulau Pramuka,Pulau Pelangi
5,Jakarta,Museum Satria Mandala,Museum Wayang,Museum Bahari Jakarta,Museum Macan (Modern and Contemporary Art in Nusantara),
6,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Jakarta Aquarium dan Safari,SnowBay Waterpark,,
7,Jakarta,Alive Museum Ancol,Ocean Ecopark,SnowBay Waterpark,,
8,Jakarta,Kota Tua,Museum Bank Indonesia,Monas,Perpustakaan Nasional,Masjid Istiqlal
9,Jakarta,Galeri Nasional Indonesia,Museum Seni Rupa dan Kramik,Galeri Indonesia Kaya,,
10,Jakarta,Taman Impian Jaya Ancol,Kota Tua,Museum Bank Indonesia,Museum Fatahillah,Museum Wayang
11,Jakarta,Kota Tua,Jembatan Kota Intan,Klenteng Jin De Yuan,Wisata Kuliner Pecenongan,
12,Jakarta,Hutan Kota Srengseng,Taman Cattleya,Freedom Library,,
13,Jakarta,Taman Mini Indonesia Indah (TMII),Museum Satria Mandala,Pasar Tanah Abang,,
14,Jakarta,Pasar Tanah Abang,Pasar Taman Puring,Pasar Seni,Pasar Petak Sembilan,
15,Jakarta,Mall Thamrin City,Grand Indonesia Mall,Plaza Indonesia,,
16,Jakarta,Museum Joang 45,Museum Fatahillah,Museum Bank Indonesia,Museum Taman Prasasti,Museum Nasional
17,Jakarta,Museum Sumpah Pemuda,Tugu Proklamasi,Museum Basoeki Abdullah,Museum Layang-layang,Museum Perangko
18,Jakarta,Klenteng Jin De Yuan,Masjid Istiqlal,Gereja Katedral,,
19,Jakarta,Taman Menteng,Taman Suropati,Taman Lapangan Banteng,Taman Cattleya,Taman Spathodea
20,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Bumi Perkemahan Cibubur,Taman Situ Lembang,Taman Agrowisata Cilangkap,Taman Lapangan Banteng
21,Yogyakarta,Nol Kilometer Jl.Malioboro,Alun Alun Selatan Yogyakarta,Tugu Pal Putih Jogja,Bukit Lintang Sewu,Bendung Lepen
22,Yogyakarta,Air Terjun Kedung Pedut,Puncak Gunung Api Purba - Nglanggeran,Watu Mabur Mangunan,Geoforest Watu Payung Turunan,
23,Yogyakarta,Alun-alun Utara Keraton Yogyakarta,Candi Ijo,Monumen Sanapati,,
24,Yogyakarta,Pantai Indrayanti,Pantai Nglambor,Pantai Parangtritis,Pantai Sundak,Pantai Krakal
25,Yogyakarta,Candi Ijo,Pasar Beringharjo,Sindu Kusuma Edupark (SKE),,
26,Yogyakarta,Hutan Pinus Pengger,Bentara Budaya Yogyakarta (BBY),Desa Wisata Pulesari,,
27,Yogyakarta,Candi Prambanan,Candi Borobudur,Kawasan Malioboro,,
28,Yogyakarta,Pantai Patihan,Pantai Kukup,Hutan Mangrove Kulon Progo,Pantai Nguluran,Pantai Samas
29,Yogyakarta,Gembira Loka Zoo,Kampung Wisata Kadipaten,Tebing Breksi,Embung Tambakboyo,
30,Yogyakarta,The Lost World Castle,Monumen Sanapati,Green Village Gedangsari,Pantai Depok Jogja,
31,Yogyakarta,Puncak Segoro,Taman Pelangi Jogja,Galaxy Waterpark Jogja,,
32,Yogyakarta,Bukit Wisata Pulepayung,Hutan Pinus Asri,Kebun Teh Nglinggo,Goa Pindul,Wisata Kalibiru
33,Yogyakarta,Pantai Glagah,Pantai Drini,Pantai Wediombo,Pantai Jogan,Pantai Ngrenehan
34,Yogyakarta,Desa Wisata Sungai Code Jogja Kota,Kawasan Malioboro,Kauman Pakualaman Yogyakarta,,
35,Yogyakarta,Kampung Wisata Taman Sari,Monumen Serangan Umum 1 Maret,Puncak Kebun Buah Mangunan,Seribu Batu Songgo Langit,"Bukit Paralayang, Watugupit"
36,Yogyakarta,Jurang Tembelan Kanigoro,Lava Bantal,Watu Goyang,Watu Lumbung,
37,Yogyakarta,De Mata Museum Jogja,Kampung Wisata Kadipaten,Tebing Breksi,Bentara Budaya Yogyakarta (BBY),
38,Yogyakarta,Watu Lumbung,Bunker Kaliadem Merapi,Goa Rancang Kencono,Pintoe Langit Dahromo,Wisata Kaliurang
39,Yogyakarta,Sindu Kusuma Edupark (SKE),Taman Pelangi Yogyakarta,The Lost World Castle,The World Landmarks - Merapi Park Yogyakarta,
