User_Id,Place_Id,Place_Ratings
1,322,3
1,304,2
1,171,5
1,407,3
1,270,4
1,356,2
1,82,5
1,43,4
1,290,2
1,104,5
1,25,3
1,228,5
1,213,3
1,90,5
1,288,5
1,270,4
1,110,4
1,143,3
1,447,3
1,37,2
1,214,3
1,82,3
1,260,4
1,369,5
1,224,2
1,341,2
1,332,4
1,421,2
1,232,2
1,31,2
2,60,2
2,66,5
2,315,4
2,82,3
2,113,4
2,31,3
2,231,5
2,161,2
2,148,2
2,274,2
2,183,3
2,199,2
2,442,5
2,397,2
2,82,3
2,142,5
2,129,5
2,167,4
2,243,3
2,115,2
2,180,2
2,108,5
2,326,4
2,263,2
2,267,2
2,320,2
2,378,5
2,398,3
2,64,3
3,214,5
3,16,5
3,128,5
3,293,3
3,392,3
3,330,5
3,62,2
3,145,3
3,217,3
3,42,2
3,207,2
3,33,2
3,174,3
3,18,4
3,9,2
3,281,4
3,442,5
3,295,3
3,410,4
3,221,2
3,325,2
3,77,2
3,357,3
3,92,4
3,264,5
3,199,3
3,303,3
3,151,3
3,178,4
3,323,5
4,138,2
4,245,2
4,132,4
4,172,4
4,343,3
4,182,5
4,394,3
4,246,3
4,364,4
4,352,3
4,209,5
4,303,4
4,412,3
4,157,5
4,423,3
4,363,2
4,304,5
4,75,3
4,226,2
4,298,2
4,199,3
4,162,5
4,131,5
4,234,5
4,304,2
4,281,2
5,317,4
5,383,2
5,193,5
5,298,2
5,262,4
5,280,3
5,349,5
5,296,5
5,29,4
5,229,5
5,404,3
5,296,5
5,103,3
5,265,3
5,266,3
5,439,2
5,431,5
5,303,2
5,313,3
5,346,2
5,258,4
5,37,2
5,430,4
5,289,2
5,12,4
5,263,4
5,65,3
5,152,3
5,134,4
5,96,2
5,122,3
5,286,3
5,294,3
6,350,4
6,360,2
6,71,2
6,89,2
6,163,3
6,243,3
6,23,2
6,387,5
6,176,4
6,379,5
6,214,2
6,300,5
6,300,5
6,136,5
6,184,2
6,247,4
6,196,4
6,401,5
6,234,5
6,237,5
6,260,2
6,387,2
6,345,4
6,161,3
6,30,2
6,141,5
6,422,4
6,11,2
7,68,5
7,222,3
7,265,3
7,274,3
7,44,5
7,146,5
7,295,4
7,74,5
7,418,4
7,257,4
7,266,3
7,49,3
7,140,5
7,186,4
7,26,4
7,315,3
7,276,2
7,341,5
7,3,4
7,327,4
7,136,3
7,418,4
7,238,4
7,188,5
7,381,5
7,323,2
7,443,3
8,38,5
8,407,3
8,373,2
8,319,5
8,245,4
8,375,5
8,4,4
8,48,2
8,340,3
8,203,2
8,422,5
8,13,5
8,204,3
8,279,4
8,38,5
8,62,3
8,347,5
8,166,2
8,112,3
8,159,5
8,434,2
8,104,5
8,259,4
8,274,3
8,179,2
8,426,3
8,19,3
8,392,4
9,403,3
9,8,4
9,137,4
9,362,4
9,187,3
9,91,5
9,421,3
9,209,2
9,320,4
9,407,4
9,292,4
9,88,3
9,186,3
9,88,5
9,44,3
9,100,3
9,173,3
9,175,4
9,117,4
9,217,4
9,368,4
9,119,3
9,93,5
9,408,4
9,376,5
9,201,4
9,105,5
9,335,2
9,293,5
9,435,2
9,441,5
9,199,2
9,260,5
10,347,3
10,98,4
10,159,5
10,111,2
10,339,5
10,125,4
10,336,4
10,173,5
10,424,3
10,52,5
10,289,3
10,196,5
10,280,5
10,42,4
10,248,5
10,67,5
10,209,3
10,120,3
10,245,3
10,407,3
10,137,4
10,13,3
10,428,3
10,124,2
10,342,2
10,168,2
10,277,5
10,343,4
11,318,2
11,442,2
11,383,3
11,88,3
11,271,3
11,225,5
11,89,5
11,222,2
11,313,4
11,71,2
11,254,4
11,407,3
11,238,4
11,400,2
11,287,4
11,379,4
11,182,4
11,294,3
11,100,2
11,282,5
11,98,2
11,220,5
11,365,2
11,155,3
11,305,3
11,101,2
11,342,5
11,424,2
12,407,3
12,170,3
12,165,2
12,211,3
12,158,5
12,441,5
12,270,5
12,12,4
12,131,4
12,229,5
12,188,5
12,295,4
12,183,5
12,41,4
12,160,2
12,379,5
12,241,4
12,201,4
12,292,5
12,321,2
12,141,5
12,355,5
12,58,5
12,189,3
12,125,5
12,17,5
12,14,3
12,131,3
12,444,5
12,112,2
12,108,5
12,250,4
12,353,3
12,74,2
13,259,2
13,211,2
13,108,2
13,36,5
13,217,4
13,254,5
13,292,2
13,17,5
13,411,2
13,297,5
13,290,4
13,253,4
13,97,5
13,432,2
13,308,2
13,299,3
13,254,2
13,141,5
13,74,2
13,394,2
13,396,4
13,65,3
13,401,2
13,217,5
13,68,4
14,89,5
14,449,3
14,397,4
14,355,2
14,220,4
14,289,2
14,112,4
14,12,5
14,90,5
14,213,3
14,117,2
14,113,3
14,198,2
14,231,5
14,309,2
14,444,3
14,410,5
14,426,2
14,31,2
14,166,4
14,208,3
14,159,2
14,236,5
14,25,5
14,222,4
14,19,2
14,449,3
14,44,4
14,438,4
14,241,5
14,389,5
14,233,4
14,233,3
15,305,3
15,405,3
15,177,5
15,286,5
15,222,3
15,26,2
15,313,5
15,374,5
15,329,3
15,162,5
15,235,4
15,260,4
15,437,3
15,224,4
15,63,2
15,290,3
15,125,5
15,175,4
15,401,2
15,206,2
15,277,2
15,18,5
15,101,4
15,144,5
15,336,3
15,243,3
15,422,2
15,200,4
15,356,3
15,421,2
15,144,2
15,291,4
15,207,2
15,436,3
15,434,3
15,231,3
16,360,2
16,218,2
16,11,2
16,248,3
16,162,4
16,122,2
16,426,3
16,281,2
16,391,3
16,362,4
16,72,4
16,214,5
16,412,4
16,52,2
16,312,5
16,317,4
16,247,4
16,196,2
16,213,5
16,435,4
16,226,3
16,12,4
16,403,4
16,218,5
16,200,2
16,293,3
16,120,4
16,63,3
16,342,5
17,362,4
17,432,2
17,277,5
17,180,5
17,315,5
17,184,4
17,25,2
17,317,5
17,189,4
17,277,2
17,278,4
17,241,3
17,169,4
17,190,2
17,111,3
17,274,5
17,194,3
17,327,4
17,265,5
17,356,3
17,268,4
17,285,4
17,384,5
17,414,5
17,96,4
17,371,4
17,323,3
17,389,2
17,417,4
17,247,3
17,61,3
17,339,4
17,254,2
17,94,2
17,12,2
17,303,4
17,98,3
17,434,3
17,146,4
17,312,4
17,216,3
17,322,2
17,407,3
17,348,4
17,347,2
17,213,3
18,37,3
18,433,2
18,63,5
18,215,4
18,161,3
18,151,4
18,330,5
18,158,4
18,12,5
18,92,2
18,192,5
18,101,4
18,3,5
18,273,3
18,283,3
18,7,4
18,37,2
18,176,4
18,231,5
18,9,4
18,121,3
18,444,2
18,87,3
18,237,5
18,286,2
18,300,4
18,150,4
18,204,3
18,138,5
18,49,2
18,438,4
18,376,3
18,329,5
18,43,2
19,424,5
19,302,2
19,266,3
19,261,3
19,154,3
19,323,2
19,360,3
19,272,4
19,72,2
19,355,4
19,106,2
19,127,2
19,370,4
19,282,5
19,302,3
19,303,3
19,416,2
19,240,2
19,189,3
19,160,3
19,444,5
19,408,4
19,369,3
19,211,5
19,129,3
19,91,4
19,242,5
19,120,4
19,118,5
19,35,3
19,61,5
19,232,5
19,435,4
19,118,5
19,424,3
19,287,4
19,161,4
19,64,3
19,295,4
19,61,5
19,407,5
19,84,3
19,168,4
19,302,2
20,123,3
20,65,2
20,23,2
20,75,3
20,103,5
20,145,5
20,207,3
20,168,3
20,443,3
20,178,2
20,351,3
20,344,2
20,245,4
20,415,4
20,400,4
20,416,2
20,143,3
20,59,5
20,113,4
20,131,3
20,247,2
20,290,5
20,55,3
20,398,2
20,278,4
20,218,5
20,162,4
20,235,2
20,115,2
20,38,3
20,338,3
20,41,3
20,84,2
20,29,2
21,115,5
21,349,4
21,186,3
21,101,2
21,395,5
21,178,4
21,288,3
21,235,4
21,113,2
21,291,4
21,413,2
21,371,4
21,56,3
21,310,4
21,279,5
21,389,3
21,58,3
21,190,2
21,113,2
21,60,2
21,54,5
21,343,2
22,236,4
22,199,2
22,162,4
22,188,5
22,105,5
22,205,3
22,276,2
22,448,4
22,94,2
22,372,5
22,418,3
22,345,5
22,310,3
22,208,2
22,242,2
22,433,3
22,357,3
22,24,2
22,362,4
22,200,5
22,358,2
22,124,2
22,299,3
22,153,3
22,23,4
22,402,3
22,108,2
22,227,5
22,68,4
23,309,4
23,311,2
23,370,4
23,449,5
23,76,3
23,193,5
23,384,4
23,399,2
23,45,4
23,410,3
23,390,4
23,305,2
23,110,5
23,120,2
23,17,2
23,173,4
23,438,5
23,348,3
23,212,4
23,105,3
23,114,4
23,60,3
23,369,5
23,158,4
23,428,3
23,1,4
23,146,4
23,346,4
23,294,4
23,20,3
23,277,4
23,164,2
24,397,3
24,42,2
24,19,4
24,291,5
24,72,3
24,246,2
24,432,2
24,63,4
24,195,2
24,157,3
24,136,2
24,52,3
24,89,2
24,91,2
24,282,4
24,44,3
24,13,4
24,339,4
24,48,5
24,224,2
24,173,5
24,242,2
24,46,5
24,7,5
25,121,2
25,167,4
25,219,3
25,156,3
25,319,4
25,369,3
25,207,5
25,371,4
25,61,3
25,25,5
25,162,4
25,94,5
25,174,3
25,17,4
25,408,3
25,389,3
25,238,4
25,300,5
25,175,2
25,436,3
25,261,3
25,394,3
25,228,5
25,48,2
25,24,4
25,38,3
25,10,3
25,425,3
25,209,2
25,319,4
25,387,4
25,87,5
25,14,4
26,298,2
26,29,5
26,54,4
26,148,3
26,337,3
26,346,5
26,142,3
26,76,5
26,9,2
26,222,5
26,104,5
26,301,3
26,429,3
26,56,3
26,107,5
26,180,3
26,91,5
26,146,3
26,282,3
26,221,2
26,151,5
26,261,5
26,7,2
26,339,3
26,296,3
26,339,5
26,24,4
26,124,5
26,328,3
26,336,5
26,103,4
26,152,5
26,271,4
26,416,5
26,370,4
27,136,4
27,100,3
27,424,3
27,333,5
27,337,5
27,279,3
27,440,3
27,7,4
27,139,2
27,326,4
27,339,4
27,143,3
27,239,3
27,301,5
27,121,5
27,289,2
27,304,2
27,209,5
27,435,3
27,297,2
27,204,3
27,352,2
27,411,2
27,443,5
27,274,4
27,155,3
27,260,5
27,277,2
27,341,2
27,71,5
27,27,4
27,209,3
27,1,2
27,192,4
27,426,3
27,295,3
27,295,4
27,187,3
27,216,3
28,354,5
28,434,2
28,17,4
28,165,5
28,407,5
28,302,3
28,94,4
28,213,4
28,113,4
28,98,4
28,95,2
28,234,4
28,121,5
28,309,5
28,231,3
28,50,2
28,177,4
28,350,2
28,208,2
28,296,4
28,213,5
28,331,3
28,97,5
28,140,5
28,196,5
28,317,4
28,77,4
28,209,4
28,25,5
28,404,3
28,387,5
28,152,3
28,66,5
28,357,3
28,437,4
28,407,2
28,275,4
28,392,2
28,306,4
28,283,5
28,46,5
29,215,5
29,5,3
29,266,2
29,381,3
29,27,5
29,122,4
29,51,5
29,220,5
29,167,5
29,420,3
29,170,4
29,111,2
29,111,5
29,224,3
29,169,2
29,403,3
29,74,5
29,429,3
29,123,2
29,173,4
29,88,2
29,250,3
29,164,4
29,331,3
29,367,3
29,177,2
29,408,3
29,97,4
29,342,5
29,96,3
29,222,3
29,119,3
29,134,2
29,230,4
30,26,2
30,385,3
30,150,3
30,312,2
30,133,4
30,153,2
30,115,5
30,248,2
30,14,4
30,311,2
30,318,3
30,329,5
30,17,4
30,176,3
